"semaine";"annee";"sexe";"classe_age";"nb_patient"
1;2013;1;"0-11";12
1;2013;1;"12-18";118
1;2013;1;"19-25";1471
1;2013;1;"26-50";33291
1;2013;1;"51-75";66378
1;2013;1;">75";31463
1;2013;2;"0-11";12
1;2013;2;"12-18";234
1;2013;2;"19-25";2228
1;2013;2;"26-50";44865
1;2013;2;"51-75";105041
1;2013;2;">75";76280
1;2013;9;">75";29
2;2013;1;"0-11";15
2;2013;1;"12-18";253
2;2013;1;"19-25";2011
2;2013;1;"26-50";41678
2;2013;1;"51-75";86183
2;2013;1;">75";41705
2;2013;2;"0-11";21
2;2013;2;"12-18";370
2;2013;2;"19-25";2895
2;2013;2;"26-50";58739
2;2013;2;"51-75";145234
2;2013;2;">75";106729
2;2013;9;">75";111
3;2013;1;"0-11";19
3;2013;1;"12-18";200
3;2013;1;"19-25";1912
3;2013;1;"26-50";38360
3;2013;1;"51-75";76554
3;2013;1;">75";36374
3;2013;2;"0-11";22
3;2013;2;"12-18";283
3;2013;2;"19-25";2626
3;2013;2;"26-50";52819
3;2013;2;"51-75";125800
3;2013;2;">75";89702
3;2013;9;">75";220
4;2013;1;"0-11";21
4;2013;1;"12-18";211
4;2013;1;"19-25";1769
4;2013;1;"26-50";36797
4;2013;1;"51-75";72845
4;2013;1;">75";34771
4;2013;2;"0-11";10
4;2013;2;"12-18";304
4;2013;2;"19-25";2556
4;2013;2;"26-50";51368
4;2013;2;"51-75";120423
4;2013;2;">75";84969
4;2013;9;">75";295
5;2013;1;"0-11";18
5;2013;1;"12-18";206
5;2013;1;"19-25";1809
5;2013;1;"26-50";38803
5;2013;1;"51-75";74719
5;2013;1;">75";34610
5;2013;2;"0-11";18
5;2013;2;"12-18";325
5;2013;2;"19-25";2654
5;2013;2;"26-50";53699
5;2013;2;"51-75";123882
5;2013;2;">75";85641
5;2013;9;">75";76
6;2013;1;"0-11";12
6;2013;1;"12-18";176
6;2013;1;"19-25";1858
6;2013;1;"26-50";38689
6;2013;1;"51-75";77422
6;2013;1;">75";36660
6;2013;2;"0-11";19
6;2013;2;"12-18";300
6;2013;2;"19-25";2623
6;2013;2;"26-50";53341
6;2013;2;"51-75";128171
6;2013;2;">75";91764
6;2013;9;">75";99
7;2013;1;"0-11";20
7;2013;1;"12-18";190
7;2013;1;"19-25";1811
7;2013;1;"26-50";38712
7;2013;1;"51-75";76464
7;2013;1;">75";36573
7;2013;2;"0-11";19
7;2013;2;"12-18";260
7;2013;2;"19-25";2547
7;2013;2;"26-50";52398
7;2013;2;"51-75";126912
7;2013;2;">75";91460
7;2013;9;">75";197
8;2013;1;"0-11";22
8;2013;1;"12-18";168
8;2013;1;"19-25";1757
8;2013;1;"26-50";35761
8;2013;1;"51-75";71299
8;2013;1;">75";33682
8;2013;2;"0-11";15
8;2013;2;"12-18";263
8;2013;2;"19-25";2430
8;2013;2;"26-50";49124
8;2013;2;"51-75";116952
8;2013;2;">75";83341
8;2013;9;">75";201
9;2013;1;"0-11";20
9;2013;1;"12-18";157
9;2013;1;"19-25";1720
9;2013;1;"26-50";37320
9;2013;1;"51-75";74190
9;2013;1;">75";34852
9;2013;2;"0-11";12
9;2013;2;"12-18";252
9;2013;2;"19-25";2418
9;2013;2;"26-50";49708
9;2013;2;"51-75";119085
9;2013;2;">75";85163
9;2013;9;">75";100
10;2013;1;"0-11";22
10;2013;1;"12-18";168
10;2013;1;"19-25";1753
10;2013;1;"26-50";37219
10;2013;1;"51-75";77530
10;2013;1;">75";37191
10;2013;2;"0-11";16
10;2013;2;"12-18";275
10;2013;2;"19-25";2534
10;2013;2;"26-50";51326
10;2013;2;"51-75";126686
10;2013;2;">75";92610
10;2013;9;">75";290
11;2013;1;"0-11";24
11;2013;1;"12-18";176
11;2013;1;"19-25";1751
11;2013;1;"26-50";37277
11;2013;1;"51-75";75146
11;2013;1;">75";35545
11;2013;2;"0-11";16
11;2013;2;"12-18";299
11;2013;2;"19-25";2552
11;2013;2;"26-50";50546
11;2013;2;"51-75";122588
11;2013;2;">75";88604
11;2013;9;">75";351
12;2013;1;"0-11";18
12;2013;1;"12-18";205
12;2013;1;"19-25";1835
12;2013;1;"26-50";37262
12;2013;1;"51-75";74017
12;2013;1;">75";35259
12;2013;2;"0-11";16
12;2013;2;"12-18";291
12;2013;2;"19-25";2613
12;2013;2;"26-50";51942
12;2013;2;"51-75";125109
12;2013;2;">75";88441
12;2013;9;">75";401
13;2013;1;"0-11";39
13;2013;1;"12-18";179
13;2013;1;"19-25";1437
13;2013;1;"26-50";31490
13;2013;1;"51-75";62947
13;2013;1;">75";29256
13;2013;2;"0-11";35
13;2013;2;"12-18";304
13;2013;2;"19-25";2183
13;2013;2;"26-50";43577
13;2013;2;"51-75";103987
13;2013;2;">75";72928
13;2013;9;">75";75
14;2013;1;"0-11";47
14;2013;1;"12-18";215
